PICKUP_LOCATION_ID,PICKUP_BOROUGH,PICKUP_ZONE,PICKUP_SERVICE_ZONE,TRIPS_COUNT,TOTAL_REVENUE,AVG_TOTAL_AMOUNT,AVG_FARE_AMOUNT,AVG_TIP_AMOUNT,AVG_TRIP_DISTANCE,AVG_TRIP_DURATION_MINUTES,FIRST_PICKUP_DATETIME,LAST_PICKUP_DATETIME,DEMAND_RANK,REVENUE_RANK
83,Queens,Elmhurst/Maspeth,Boro Zone,137,5264.95,38.43,31.32,2.76,5.31,21.09,2024-01-01 00:58:23.000,2024-01-31 17:58:24.000,163,161
22,Brooklyn,Bensonhurst West,Boro Zone,140,5218.28,37.27,34.15,0.37,7.79,45.12,2024-01-01 01:31:30.000,2024-01-31 14:01:01.000,158,162
47,Bronx,Claremont/Bathgate,Boro Zone,153,5199.54,33.98,31.01,0.03,7.04,37.88,2024-01-01 01:36:37.000,2024-01-31 12:06:17.000,154,163
174,Bronx,Norwood,Boro Zone,125,5186.68,41.49,38.18,0.16,10.02,47.82,2024-01-01 00:54:21.000,2024-01-31 18:30:35.000,167,164
121,Queens,Hillcrest/Pomonok,Boro Zone,161,5160.45,32.05,29.19,0.53,6.52,32.82,2024-01-01 09:27:33.000,2024-01-31 16:00:00.000,153,165
108,Brooklyn,Gravesend,Boro Zone,108,4860.83,45.01,42.15,0.22,11.2,54.25,2024-01-01 13:28:31.000,2024-01-31 15:35:57.000,177,166
123,Brooklyn,Homecrest,Boro Zone,138,4831.08,35.01,32.76,0.21,8,42.52,2024-01-01 02:22:42.000,2024-01-31 17:01:54.000,162,167
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,127,4801.73,37.81,33.65,0.57,8.66,36.87,2024-01-01 00:25:11.000,2024-01-31 15:50:16.000,166,168
119,Bronx,Highbridge,Boro Zone,146,4725.8,32.37,29.04,0.55,6.58,35.27,2024-01-01 04:44:18.000,2024-01-31 18:05:27.000,156,169
81,Bronx,Eastchester,Boro Zone,112,4620.57,41.26,37.99,0,9.66,44.79,2024-01-01 02:07:45.000,2024-01-31 17:18:32.000,174,170
106,Brooklyn,Gowanus,Boro Zone,140,4616.61,32.98,28.01,2,6.15,28.68,2024-01-01 01:27:28.000,2024-01-31 22:09:02.000,158,171
21,Brooklyn,Bensonhurst East,Boro Zone,122,4448.17,36.46,33.54,0.66,7.8,42.96,2024-01-01 05:42:29.000,2024-01-31 20:23:50.000,168,172
135,Queens,Kew Gardens Hills,Boro Zone,117,4352.87,37.2,32.46,0.73,8.02,35.27,2024-01-01 00:24:46.000,2024-01-31 15:04:42.000,169,173
136,Bronx,Kingsbridge Heights,Boro Zone,117,4308.39,36.82,34.26,0.15,8.37,44.29,2024-01-01 00:00:03.000,2024-01-31 17:47:53.000,169,174
259,Bronx,Woodlawn/Wakefield,Boro Zone,98,4301.01,43.89,40.71,0,10.7,48.30,2024-01-01 06:48:29.000,2024-01-31 05:56:40.000,184,175
202,Manhattan,Roosevelt Island,Boro Zone,117,4102.61,35.07,28.7,2.89,5.84,27.71,2024-01-01 00:47:00.000,2024-01-31 19:35:06.000,169,176
217,Brooklyn,South Williamsburg,Boro Zone,133,4051.64,30.46,26.26,1.54,5.35,25.50,2024-01-01 01:29:00.000,2024-01-31 19:10:12.000,165,177
67,Brooklyn,Dyker Heights,Boro Zone,94,4042.61,43.01,37.86,1.22,8.92,45.11,2024-01-01 05:50:47.000,2024-01-31 11:32:51.000,186,178
149,Brooklyn,Madison,Boro Zone,110,3948.84,35.9,33.63,0,8.11,46.27,2024-01-01 06:10:24.000,2024-01-31 16:15:52.000,175,179
20,Bronx,Belmont,Boro Zone,104,3924.65,37.74,34.5,0.14,8.59,43.63,2024-01-01 00:33:21.000,2024-01-31 15:05:59.000,181,180
248,Bronx,West Farms/Bronx River,Boro Zone,116,3833.04,33.04,30.3,0.12,7.39,34.64,2024-01-01 01:38:28.000,2024-01-31 14:59:46.000,172,181
32,Bronx,Bronxdale,Boro Zone,102,3770.21,36.96,34.22,0,8.51,45.84,2024-01-01 02:21:53.000,2024-01-31 12:21:26.000,182,182
3,Bronx,Allerton/Pelham Gardens,Boro Zone,82,3708.59,45.23,41.92,0.25,9.67,42.68,2024-01-01 01:06:03.000,2024-01-31 15:19:45.000,193,183
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,92,3671.44,39.91,36.42,0.62,9.17,38.65,2024-01-01 01:12:06.000,2024-01-31 22:28:02.000,187,184
212,Bronx,Soundview/Bruckner,Boro Zone,107,3657.78,34.18,31.37,0,7.99,38.18,2024-01-01 01:20:22.000,2024-01-31 12:09:09.000,180,185
133,Brooklyn,Kensington,Boro Zone,109,3580.81,32.85,29.17,1.07,6.7,34.12,2024-01-01 06:30:26.000,2024-01-31 11:54:22.000,176,186
185,Bronx,Pelham Parkway,Boro Zone,108,3455.72,32,29.41,0.24,6.44,33.37,2024-01-01 04:15:15.000,2024-01-31 15:13:44.000,177,187
227,Brooklyn,Sunset Park East,Boro Zone,95,3355.11,35.32,32.32,0.4,7.26,46.14,2024-01-01 03:27:31.000,2024-01-31 16:27:05.000,185,188
60,Bronx,Crotona Park East,Boro Zone,102,3346.76,32.81,29.94,0.03,7.32,37.59,2024-01-01 04:16:20.000,2024-01-31 04:54:44.000,182,189
180,Queens,Ozone Park,Boro Zone,90,3308.4,36.76,32.72,1.16,6.83,32.47,2024-01-01 00:58:30.000,2024-01-31 16:12:22.000,188,190
160,Queens,Middle Village,Boro Zone,77,3305.95,42.93,36.44,2.74,7,31.04,2024-01-01 02:21:41.000,2024-01-30 22:54:28.000,196,191
201,Queens,Rockaway Park,Boro Zone,69,3281.68,47.56,44.45,0.01,12.98,55.13,2024-01-01 18:12:23.000,2024-01-31 15:00:41.000,197,192
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,82,3145.45,38.36,35.24,0.07,9.34,36.65,2024-01-01 00:36:52.000,2024-01-31 14:14:02.000,193,193
147,Bronx,Longwood,Boro Zone,88,2985.15,33.92,31.27,0.09,7.02,42.73,2024-01-01 01:19:24.000,2024-01-31 14:45:42.000,190,194
150,Brooklyn,Manhattan Beach,Boro Zone,67,2976.27,44.42,40.34,1.27,10.34,46.87,2024-01-01 06:17:22.000,2024-01-31 09:32:53.000,198,195
250,Bronx,Westchester Village/Unionport,Boro Zone,89,2933.64,32.96,29.77,0.26,7.22,37.69,2024-01-01 04:34:39.000,2024-01-31 15:51:51.000,189,196
1,EWR,Newark Airport,EWR,29,2903.94,100.14,83.6,10.2,7.47,13.17,2024-01-01 14:57:56.000,2024-01-31 17:50:50.000,225,197
126,Bronx,Hunts Point,Boro Zone,84,2818.83,33.56,30.46,0.4,6.98,34.62,2024-01-01 02:29:29.000,2024-01-31 14:05:19.000,192,198
19,Queens,Bellerose,Boro Zone,65,2814.78,43.3,38.58,1.35,9.58,36.14,2024-01-01 03:56:51.000,2024-01-31 13:07:56.000,200,199
94,Bronx,Fordham South,Boro Zone,81,2693.86,33.26,30.42,0.06,7.14,40.35,2024-01-01 02:15:58.000,2024-01-31 18:17:07.000,195,200
252,Queens,Whitestone,Boro Zone,58,2555.73,44.06,37.35,2.88,7.95,28.12,2024-01-01 01:24:18.000,2024-01-31 05:48:03.000,205,201
16,Queens,Bayside,Boro Zone,65,2541.91,39.11,35.27,1.4,8.46,37.35,2024-01-01 00:26:16.000,2024-01-31 17:35:50.000,200,202
122,Queens,Hollis,Boro Zone,64,2380.6,37.2,34.39,0,8.33,43.67,2024-01-01 00:26:56.000,2024-01-31 20:58:18.000,203,203
98,Queens,Fresh Meadows,Boro Zone,57,2260.68,39.66,35.44,0.96,8.7,38.04,2024-01-01 01:13:26.000,2024-01-31 17:37:39.000,207,204
257,Brooklyn,Windsor Terrace,Boro Zone,65,2260.01,34.77,30.33,1.3,7.48,32.09,2024-01-01 06:16:35.000,2024-01-31 23:17:44.000,200,205
11,Brooklyn,Bath Beach,Boro Zone,54,2227.49,41.25,37.72,1.3,8.96,42.61,2024-01-02 11:32:12.000,2024-01-31 13:06:44.000,209,206
54,Brooklyn,Columbia Street,Boro Zone,50,2169.43,43.39,35.25,3.19,6.91,28.28,2024-01-03 08:46:28.000,2024-01-31 22:15:03.000,213,207
102,Queens,Glendale,Boro Zone,66,2075.27,31.44,27.09,2.02,5.48,28.74,2024-01-01 00:45:29.000,2024-01-31 16:33:07.000,199,208
171,Queens,Murray Hill-Queens,Boro Zone,57,2047.87,35.93,32.91,0,7.87,36.37,2024-01-01 00:38:02.000,2024-01-30 09:51:51.000,207,209
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,39,2033.48,52.14,40.46,6.98,5.99,17.28,2024-01-01 08:44:17.000,2024-01-31 19:28:24.000,220,210
173,Queens,North Corona,Boro Zone,61,2008.39,32.92,28.51,1.22,6.31,28.80,2024-01-01 01:00:16.000,2024-01-31 09:38:35.000,204,211
192,Queens,Queensboro Hill,Boro Zone,58,1964.65,33.87,30.2,0.77,7.07,27.74,2024-01-01 00:30:49.000,2024-01-31 23:14:39.000,205,212
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,51,1964.51,38.52,29.46,4.72,6.27,15.94,2024-01-01 17:33:09.000,2024-01-31 20:39:08.000,212,213
178,Brooklyn,Ocean Parkway South,Boro Zone,52,1743.1,33.52,30.68,0.14,6.88,38.63,2024-01-01 04:49:53.000,2024-01-31 10:16:43.000,211,214
64,Queens,Douglaston,Boro Zone,43,1708.35,39.73,35.25,0.77,8.23,22.93,2024-01-01 01:39:04.000,2024-01-31 06:55:26.000,217,215
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,54,1700.03,31.48,26.43,1.64,5.74,23.80,2024-01-01 02:16:59.000,2024-01-30 17:57:15.000,209,216
53,Queens,College Point,Boro Zone,37,1698.58,45.91,38.49,1.77,8.8,31.84,2024-01-01 00:54:29.000,2024-01-31 11:54:46.000,221,217
9,Queens,Auburndale,Boro Zone,47,1618.13,34.43,31.53,0.67,7.43,31.70,2024-01-01 00:44:58.000,2024-01-30 15:28:00.000,214,218
175,Queens,Oakland Gardens,Boro Zone,46,1572.44,34.18,32.09,0,8.49,33.39,2024-01-01 21:13:44.000,2024-01-31 19:03:02.000,215,219
101,Queens,Glen Oaks,Boro Zone,40,1572.07,39.3,36.4,0.33,9.37,33.23,2024-01-01 00:47:39.000,2024-01-31 10:38:25.000,219,220
183,Bronx,Pelham Bay,Boro Zone,37,1534.48,41.47,38.22,0,10.49,43.43,2024-01-02 05:20:48.000,2024-01-31 10:49:04.000,221,221
153,Manhattan,Marble Hill,Boro Zone,43,1459.15,33.93,30.06,1.05,7.65,33.91,2024-01-01 00:49:23.000,2024-01-31 12:31:30.000,217,222
190,Brooklyn,Prospect Park,Boro Zone,44,1354.19,30.78,25.76,2.1,4.8,26.95,2024-01-01 00:10:04.000,2024-01-31 06:47:05.000,216,223
73,Queens,East Flushing,Boro Zone,36,1354.08,37.61,34.09,0.54,8.27,38.50,2024-01-01 00:24:49.000,2024-01-31 07:03:15.000,223,224
15,Queens,Bay Terrace/Fort Totten,Boro Zone,30,1153.3,38.44,34.28,0.65,9.06,35.50,2024-01-01 01:44:51.000,2024-01-31 08:19:33.000,224,225
8,Queens,Astoria Park,Boro Zone,10,970.38,97.04,74.14,12.59,10.92,23.90,2024-01-02 13:35:56.000,2024-01-26 11:38:00.000,230,226
128,Manhattan,Inwood Hill Park,Boro Zone,20,828.27,41.41,37.28,1.16,8.68,31.15,2024-01-01 04:09:10.000,2024-01-30 12:53:01.000,226,227
240,Bronx,Van Cortlandt Park,Boro Zone,17,708.16,41.66,37.37,0,10.21,54.35,2024-01-02 13:53:58.000,2024-01-30 05:18:30.000,227,228
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,11,580.04,52.73,38.98,3.51,6.31,11.91,2024-01-02 15:57:44.000,2024-01-25 05:45:15.000,228,229
96,Queens,Forest Park/Highland Park,Boro Zone,9,496.15,55.13,45.61,7.37,7.9,17.44,2024-01-01 18:21:45.000,2024-01-30 08:56:05.000,232,230
120,Manhattan,Highbridge Park,Boro Zone,10,477.65,47.77,38.88,4.01,6.08,18.00,2024-01-02 06:39:51.000,2024-01-30 23:55:56.000,230,231
253,Queens,Willets Point,Boro Zone,11,451.94,41.09,37.19,0.27,6.72,16.64,2024-01-01 23:50:00.000,2024-01-28 05:31:34.000,228,232
44,Staten Island,Charleston/Tottenville,Boro Zone,1,354.23,354.23,264.1,58.75,57.2,83.00,2024-01-04 06:38:41.000,2024-01-04 06:38:41.000,250,233
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,3,348.56,116.19,100.62,1.67,21.54,64.67,2024-01-01 22:32:20.000,2024-01-26 12:40:41.000,239,234
46,Bronx,City Island,Boro Zone,7,283.94,40.56,38.07,0,10.29,40.71,2024-01-03 15:00:01.000,2024-01-24 09:39:07.000,233,235
58,Bronx,Country Club,Boro Zone,5,271.18,54.24,43.82,5.78,10.05,24.80,2024-01-15 18:25:08.000,2024-01-27 14:41:49.000,235,236
31,Bronx,Bronx Park,Boro Zone,5,226.25,45.25,42.75,0,12.38,47.40,2024-01-03 11:58:57.000,2024-01-11 12:25:05.000,235,237
172,Staten Island,New Dorp/Midland Beach,Boro Zone,2,200,100,70,21.81,18.06,32.00,2024-01-10 12:45:25.000,2024-01-29 04:24:45.000,243,238
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,5,193.01,38.6,33.8,0,9.42,31.20,2024-01-06 20:30:50.000,2024-01-29 17:23:52.000,235,239
2,Queens,Jamaica Bay,Boro Zone,3,178.59,59.53,48.62,5.93,12.76,24.33,2024-01-04 05:29:47.000,2024-01-08 22:30:16.000,239,240
57,Queens,Corona,Boro Zone,7,172.43,24.63,21.96,1.03,4.47,12.57,2024-01-13 08:33:37.000,2024-01-25 04:54:32.000,233,241
251,Staten Island,Westerleigh,Boro Zone,2,146.58,73.29,50.8,12.3,15.03,32.50,2024-01-01 03:39:43.000,2024-01-28 22:49:57.000,243,242
214,Staten Island,South Beach/Dongan Hills,Boro Zone,4,142.61,35.65,23.74,0,9.32,22.00,2024-01-01 18:34:32.000,2024-01-26 07:53:57.000,238,243
206,Staten Island,Saint George/New Brighton,Boro Zone,3,138.87,46.29,39.33,0,13.87,27.00,2024-01-01 00:19:09.000,2024-01-14 04:40:21.000,239,244
176,Staten Island,Oakwood,Boro Zone,2,123.05,61.53,42.87,5,13.25,29.50,2024-01-09 01:21:45.000,2024-01-20 13:13:33.000,243,245
109,Staten Island,Great Kills,Boro Zone,1,111.48,111.48,72.01,18.58,16.06,29.00,2024-01-18 02:50:53.000,2024-01-18 02:50:53.000,250,246
30,Queens,Broad Channel,Boro Zone,3,109.95,36.65,35.15,0,11.5,56.00,2024-01-09 07:28:53.000,2024-01-16 07:44:15.000,239,247
59,Bronx,Crotona Park,Boro Zone,2,103.44,51.72,43.28,0,12.48,36.50,2024-01-05 09:21:23.000,2024-01-16 16:39:19.000,243,248
115,Staten Island,Grymes Hill/Clifton,Boro Zone,2,95.17,47.58,39.52,1.85,10.73,16.50,2024-01-03 05:18:23.000,2024-01-31 21:49:13.000,243,249
111,Brooklyn,Green-Wood Cemetery,Boro Zone,1,90,90,89,0,5.3,1.00,2024-01-01 04:11:44.000,2024-01-01 04:11:44.000,250,250
184,Bronx,Pelham Bay Park,Boro Zone,2,79,39.5,38,0,9.9,61.00,2024-01-09 11:49:39.000,2024-01-26 06:51:45.000,243,251
204,Staten Island,Rossville/Woodrow,Boro Zone,1,77.71,77.71,62.33,0,29.58,40.00,2024-01-04 00:15:32.000,2024-01-04 00:15:32.000,250,252
156,Staten Island,Mariners Harbor,Boro Zone,1,58,58,55.5,0,12.92,33.00,2024-01-24 20:33:50.000,2024-01-24 20:33:50.000,250,253
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,2,30.4,15.2,12.45,0,2.15,11.00,2024-01-02 08:30:33.000,2024-01-29 18:08:22.000,243,254
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,1,18.48,18.48,11.4,3.08,1.41,10.00,2024-01-16 15:02:16.000,2024-01-16 15:02:16.000,250,255
199,Bronx,Rikers Island,Boro Zone,1,10.9,10.9,4.4,0,0.4,1.00,2024-01-22 12:15:26.000,2024-01-22 12:15:26.000,250,256
245,Staten Island,West Brighton,Boro Zone,1,5.9,5.9,4.4,0,0.34,3.00,2024-01-23 14:39:54.000,2024-01-23 14:39:54.000,250,257
221,Staten Island,Stapleton,Boro Zone,1,1,1,0,0,0.4,3.00,2024-01-22 00:11:34.000,2024-01-22 00:11:34.000,250,258
